name,strasse_nr,plz,angebot,lieferung,beschreibung_lieferangebot,selbstabholung,angebot_selbstabholung,fon,w3,mail,art,montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag,lon,lat,unique_id
La Vendemmia,Akazienstraße 20,10823,Weinhandlung und italienische Lebensmittel,FALSCH,,WAHR,Bestellungen können ganz kurzfristig per Telefon oder E-mail getätigt werden und können ab 12 Uhr abgeholt werden.,+493078712535,https://www.la-vendemmia.de,,Anderes (bitte bei der nächsten Frage beschreiben),,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,11:00-16:00,,"13,3538481","52,4882576",612
Büroshop Koschel,Friedrichstraße 127,10117,"Büroartikel, Schulbedarf, Schreibprodukte von Clairefontaine, Brause, Rössler, Semikolon, Leuchtturm etc.",WAHR,Lieferung deutschlandweit,WAHR,,+49302815439,https://www.claireshop.de,info@claireshop.de,Bürobedarf,,,,,,,,"13,3867823","52,5254767",613
Restaurant Macedonia,Hans-Sachs-Str.4f,12205,"Pizza ,Pasta , Saisonal, Balkan,",WAHR,11205 12203 12207 14167,WAHR,Abholung direkt kontaktlos am Restaurant . Bestellungen vor Ort bestellen und mitnehmen,+491712154512,https://www.restaurant-macedonia.de,kontakt@restaurant-macedonia.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,"13,2952635","52,4433959",614
Tegeler Bücherstube,Grußdorfstraße 18,13507,"Bücher aller Art, Bestellservice, Lesetipps",WAHR,Lieferung per Fahrradkurier und /oder selbst per Bote in PLZ 13...,WAHR,Buchhandlungen dürfen weiterhin geöffnet sein,+49304339503,https://www.tegeler-buecherstube.de,info@tegeler-buecherstube.de,Buchhandlung,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-16:00,,"13,2871679","52,5885826",615
Ipoint,Kantstraße 142,10623,Smartphone Reparatur,WAHR,,WAHR,Wenn ihr Smartphone kaputt ist rufen sie uns gerne an wir kommen ihr defektes Gerät abholen reparieren es und bringen es wieder zurück,+493031808237,https://www.ipointstore.de,kontakt@ipointstore.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,,"13,3195769","52,505734",616
Büroshop Koschel,Invalidenstraße 154,10115,Schreib- und Spielwarenladen,WAHR,,FALSCH,,+49302859659,https://www.claireshop.de,info@claireshop.de,Bürobedarf,,,,,,,,"13,3963149","52,5322801",617
CurrywurstNr.1,Dörpfeldstraße 1,12489,"Currywurst, Mittagstisch,",FALSCH,,WAHR,,+493067809893,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,,,"13,54197","52,43531",618
Bramigk&Breer,Niebuhrstraße 1,10629,möbel unikate kissen spiegel geschirr schmuck alles für zuhause,WAHR,lieferung in Berlin frei haus,WAHR,bestellung vor 14:00 am selben Tag nach 14:00 am darauf folgenden Tag,+49308827373,https://bramigk-breer.com,info@bramigk-breer.com,Möbel,11:00-16:00,11:00-16:00,11:00-16:00,11:00-16:00,11:00-16:00,11:00-16:00,,"13,319117","52,5043009",619
Chuchichäschtli,Holsteinische Straße 19,10717,Schweizer Feinkost,WAHR,Berlin weit über unseren Online Shop oder per Kurier,WAHR,Click & Collect unseres ganzen Angebots des Online-Shops,+493053677220,https://www.chuchichaeschtli.de,info@chuchichaeschtli.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00,,"13,3250591","52,4910074",620
Philomenis greek delicious,Knesebeckstraße 97,10623,"Griechische, mediterrane und vegane Speisen, griechische Ölivenöle und Spirituosen, Vorspeisen, Salate, Eingelegtes. Kuchen und Torten auch glutenfrei. Schokoladen und Pralinen",FALSCH,,WAHR,,+493031802507,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:00,,"13,3232041","52,5096243",621
Restaurant Taleh Thai,Käthe-Niederkirchner-Straße 14,10407,"Original thailändische Gericht zum Abholen, inkl. Desserts und Getränke",FALSCH,,WAHR,Bestellen sie um Restaurant oder telefonisch. Sie erreichen uns täglich von 12:00 bis 20:00 Uhr. Vielen Dank :),+493042851030,https://www.talehthai.de,info@talehthai.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,4315252","52,5304337",622
Der Rosenkavalier,Ernststraße 74,13509,"Lieferservice der schönsten Sträuße, Fleurop, sämtliche floristischen Arrangements, wunderschöne Topfpflanzen",WAHR,Lieferservice berlinweit,WAHR,Unser Geschäft ist geöffnet !,+49304324078,https://der-rosenkavalier.com,der-rosenkavalier@web.de,Blumenladen,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,09:00-13:00,,"13,3035287","52,5845276",623
Burger Turm,"Turmstrasse, 49",10551,Burger Shop,WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,leer,+493049956625,https://burgerturm.com,info@burgerturm.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",16:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,14:00-21:30,"13,332562","52,5272224",624
Julias Küchenwelt,Damaschkestraße 6,10711,Küchnstudio,WAHR,"Beratung, Planung, Lieferung, Montage",FALSCH,,+493032514022,https://ww.julias-kuechenwelt.de,info@julias-kuechenwelt.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,3023743","52,4998123",625
ABE-Minuth GmbH,Kaiser-Friedrich-Straße 7,10585,"Computertechnik, Bürotechnik, Druck und Kopiertechnik und Zubehör",WAHR,,WAHR,Notversorgung für Ärzte und Vertragskunden,+49303450640,https://www.abe-minuth.de,info@abe-minuth.de,Anderes (bitte bei der nächsten Frage beschreiben),08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,,,"13,3002912","52,5168257",626
Nostress Café,Brandenburgischestraße 33,10707,Selbstgemachte Kuchen Gourmet Becher Salate Johgurtecher Vegan Belegte diverse außergewöhnliche Belegte Smoo,FALSCH,,WAHR,,+491634552760,https://Nostress.berlin,menekse.2206@web.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,"13,3075751","52,4994715",627
La Mezcla,Hedwig Straße 1,12159,"Empanadas, Quesadillas, Quiche Mediterran,  etc",FALSCH,,WAHR,Vorbestellung zum Abholen,+4985750700,http://la-mezcla.de,info@la-mezcla.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,3360357","52,4713484",628
Ristorante Landhaus am Poloplatz,Am Poloplatz 9,13465,"Kalte und warme Vorspeisen,  Hauptgerichte, Desserts",WAHR,"Lieferung im Umkreis von 3 km möglich (kostenlos), in 13465",WAHR,,+49304019035,https://www.landhausampoloplatz.de/Aktionen,landhausampoloplatz@email.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,28824","52,6451",629
tebalou Gbr,Lahnstraße 25,12055,Onlineshop für Kinderbücher und Spielwaren,WAHR,,FALSCH,,+4915730436515,https://tebalou.shop,info@tebalou.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,4527393","52,4682713",630
HYDRIFY Intelligente Gartenbewässerung,Fritz-Thurm-Weg 17,10318,"Gartenbewässerungssysteme, Hunter und Rain Bird Produkte, Lieferung und Beratung",WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,FALSCH,,+493086704144,https://hydrify.de/,info@hydrify.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,5337102","52,473541",631
Wunder-shop.eu,Loschwitzer Weg 20,13593,"Sport Artikel , Möbel und Dekorationen aus Metall, Galerie,",WAHR,?,FALSCH,,+491783421347,https://www.wunder-shop.eu,info@wunder-shop.eu,Haushalt,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-15:00,,"13,159019","52,5222147",632
Berlina Taxi und Mietwagen GmbH,Neuköllnische Allee 128,12057,Personenbeförderung,WAHR,,FALSCH,,+493098584840,,berlina-tm@gmx.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,46845","52,46333",633
TISK Speisekneipe,Neckarstraße 12,12053,Klassische Berliner Küche modern interpretiert,WAHR,Lieferung aktuell nur in einem Radius von 2 KM. Updates finden Sie auf unseren Social Media Kanälen.,WAHR,"Vorbestellung ist nicht nötig, beschleunigt die Abholung aber. Vorbestellung ist auf der Website, telefonisch und über die Social Media Kanäle möglich.",+4930398200000,https://www.tisk-speisekneipe.de/,buero@tisk-speisekneipe.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-15:00 & 17:00-20:00,12:00-15:00 & 17:00-20:00,12:00-15:00 & 17:00-20:00,12:00-15:00 & 17:00-20:00,12:00-15:00 & 17:00-20:00,12:00-15:00 & 17:00-20:00,"13,4324179","52,4802672",634
Weinhandlung Hardy mit Raritäten Cabinet,Thielallee 29,14195,"Weine, Sekt und Champagner, Spirituosen, ein wenig Feinkost. Das ganze auch in Bio-Qualität und alkoholfrei.",WAHR,"In Zehlendorf, Steglitz und Wilmersdorf (teilweise auch darüber hinaus) liefern wir selber. Darüber hianus erfolgt der Versand per UPS.",WAHR,"Sie rufen uns an oder schicken uns eine Email. Dabei klären wir Ihre Wünsche, stellen die Bestellung zusammen, die dann zum gewünschten Termin innerhalb unserer Öffnungszeiten sehr kurzfristig zur Verfügung steht. Meist innerhalb von 30 Minuten.",+49308312598,https://www.hardy-weine.de,feinwein@hardy-weine.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-16:00,,"13,285245","52,4533643",635
PŸUR Shop Berlin,Karl-Liebknecht-Straße 17,10178,Telekommunikation / Internet / TV,FALSCH,,WAHR,Direktbestellung Antragsaufnahme im Shop von 12-18 Uhr,+493028830300,https://pyur.com,shop-mitte@pyur.com,Anderes (bitte bei der nächsten Frage beschreiben),12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,,"13,41012","52,52312",636
Harun`s Kebab,Ubhf. Prinzenstraße,10969,"Türkische Spezialitäten, Döner,Köfte, Falafel, Halloumi, Burger usw.",FALSCH,,WAHR,Abholung ist jederzeit möglich,+491776814121,,xanagire@web.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-01:00,09:00-01:00,09:00-01:00,09:00-01:00,09:00-01:00,09:00-01:00,09:00-01:00,"13,4058573","52,4983976",637
GRAVIS Computervertriebsgesellschaft mbH,Ernst-Reuter-Platz 8,10587,"Apple Produkte, Smarthome, Digital Lifestyle, Smartphone, Computer, Mac, Laptops, Notebooks, Zubehör, iPhone, iMac, Reparatur, iPad, MacBook, Watch, Air, iMac, Monitore, DSL, Handyverträge, Click & Collect, Finanzierung, Mieten",WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,Bestellungen auf der Webseite können nach ca. 2 Stunden in der Filiale zu den auf der Webseite veröffentlichten Abholzeiten in Empfang genommen werden,+493039022222,https://www.gravis.de,marketing@gravis.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-12:00 & 15:00-17:00,10:00-12:00 & 15:00-17:00,10:00-12:00 & 15:00-17:00,10:00-12:00 & 15:00-17:00,10:00-12:00 & 15:00-17:00,,,"13,3209138","52,5135331",638
Qtwo Trade & Logistics,Lausitzerstraße 22 D,10999,"Online-Verkauf, Transport, Logistik",WAHR,,FALSCH,,+4917641469606,,info@q-two.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,4262201","52,49565",639
Masken Änderungsschneiderei VN,Karl-Marx-Straße 231,12055,Mund- und Nasenmasken Fertigung,WAHR,"Handgemachte  Beihilfe Maske für 5,50€. Versand per Post",WAHR,Sie können die Masken Vorort abholen,+491742115747,,masken.bestellung@gmail.com,Mode / Bekleidung,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,"13,4431185","52,468806",640
Kaffeebar Aprilkind,Simon-Dach-Straße 15,10245,"Cappuccino, Kaffee, homemade Kuchen, Frühstück und Mittagessen am Wochenende",FALSCH,,WAHR,,,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,"13,4558701","52,50986",641
Trattoria Isola Verde,Gorkistraße 206,13437,"Italienische Küsche, Pizza, Pasta(Nudeln), Hausgemachte Nudeln, Ischitanische Küche, Familien Betrieb.",FALSCH,,WAHR,"Sie können täglich  SPEISEN UND GETRÄNKE  bei uns bestellen  und anschließend abholen. ANRUF AB 12:00 UHR, KÜCHE AB 12:30 UHR bis 20:00 Uhr",+49304145471,https://www.isolaverde.de,kontakt@isolaverde.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:30-20:00,12:30-20:00,12:30-20:00,12:30-20:00,12:30-20:00,12:30-20:00,12:00-20:00,"13,3129149","52,5931125",642
Döner Haus,Alt Kaulsdorf 52,12621,Döner und Bürger,WAHR,12621 Marzahn Hellersdorf Ksulsdorf,WAHR,Einfach kurz vorher Anrufen und wir machen’s fertig,+491637796601,,isik.gastro@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,"13,5887929","52,5047576",643
Restaurant Yammas,Bahnhofstraße 39,12305,Griechische Restaurant,FALSCH,,WAHR,12-20 Uhr,+493023907266,https://www.yammas-lichtenrade.de/,yammas.lichtenrade@gmail.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,,,,,,,"13,39935","52,38649",644
media@home King Music,Uhlandstraße 20,10623,"Unterhaltungselektronik, HiFi, TV, Smart Home",WAHR,kostenlose Lieferung in Berlin und Umland bis 50km,WAHR,Beratung und Bestellanahme per Telefon und Mail oder Webshop,+493088550600,https://www.mediaathome.de/berlin-king-music/,info@king-music.de,Anderes (bitte bei der nächsten Frage beschreiben),11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-16:00,,"13,3251719","52,5038647",645
Restaurant Al mundo,Horstweg 5,14059,Wir bieten seit 12 Jahren eine frisch zubereitete mediterrane Küche aus Leidenschaft an,WAHR,"Sie können über Lieferando ihre ausgewählten Speisen bequem nach Hause liefern lassen.Oder Sie rufen unter der hinterlegten Handynummer an,bestellen und holen es zu ihrer Wunschzeit im Restaurant ab.(Täglich geöffnet v 12-14Uhr u 18-20.30 Uhr)",WAHR,"Einfach die hinterlegte Handynummer wählen,bestellen und zur gewünschten Zeit im Restaurant abholen.",+491749003514,https://www.al-mundo.de,kontakt.almundo@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,10:00-14:00 & 18:00-20:30,"13,294877","52,5119293",646
Moser Datentechnik GmbH,Bornholmer Straße 50,13359,Compterservice / Hauskundendienst / Notebookreparatur,WAHR,Abholung der Reparaturgeräte,WAHR,Reparaturmaterial für Computer,+4915150702353,https://www.moser-datentechnik.de,service@moser-datentechnik.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,"13,39264","52,55475",647
Atlas Multimedia,Albrechtstraße 34,12167,Elektrogrossgeräte Reparatur und Verkauf.,WAHR,"Lieferung und Anschluss der bei uns gekauften Geräte, wie zum Beispiel Waschmaschinen Fernseher Trockner. Sowie Abholung und Lieferung von Kaffeevollautomaten zur Reparatur",WAHR,,+493075515151,https://www.atlas-multimedia.de,info@atlas-multimedia.de,Haushalt,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-14:00,,"13,3326452","52,4522883",648
GIOVANNIS in der Galeria am Alex,Alexanderplatz 9,10178,"Delikatessen von nah und fern: Käse, Schinken, Salami, Antipasti, Wein",WAHR,,WAHR,,+493033504496,,mail@giovannis.online,Anderes (bitte bei der nächsten Frage beschreiben),09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,,"13,4115418","52,5224246",649
dean&david Monbijouplatz,Monbijouplatz 5,10178,"Salate, Bowls, Coldpressed Juices - Unsere Speisen verbinden Genuss und Qualität mit gesunder, leichter Ernährung.",WAHR,Bestellt bei uns online unter https://www.lieferando.de/dean-david-berlin-monbijouplatz oder auch ganz bald für Pick Up in der dean&david App im AppStore und Google Playstore.,WAHR,Kommt einfach direkt vorbei und bestellt euren Lieblingssalat oder eine Bowl. Ihr könnt auch telefonisch vorbestellen oder schon bald die dean&david App nutzen.,+493024345740,https://www.deananddavid.de,berlin.monbijouplatz@deananddavid.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,"13,3989201","52,5235175",650
Artnobilis Claudia&Mike Antiquitäten,Suarezstraße 50-51,14057,"Kunst und Antiquitäten,antikes Silber, Schmuck, Leuchter, Jugendstil, Art Deco, Sammlerstücke, Uhren, Lampen",FALSCH,,WAHR,,+491737983190,https://www.artnobilis.de,artnobilis@yahoo.com,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,29606","52,50775",651
Delidía,Kopenhagenerstraße 15,10437,Hier findest du ausgewählte Bioprodukte direkt von kleinen Produzenten in Vorratsgrößen. Wir machen Qualität der Spitzenklasse für den normalen Geldbeutel erschwinglich. Mit unseren Kampagne zur Erntezeit vermeiden wir hohe Kosten und geben diese an dich weiter.,WAHR,"Nur Versand, keine Abholung.",FALSCH,,,https://www.delidia.de,hallo@delidia.de,Anderes (bitte bei der nächsten Frage beschreiben),,,,,,,,"13,4086189","52,5491076",652
Café Sommerlust,Tschaikowski Straße 1,13156,Freiluftcafé im Schlossgarten Schönhausen,FALSCH,,WAHR,.,+4917683290144,https://www.sommerlust.berlin,post@sommerlust.berlin,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,"13,40568","52,57838",653
"Eisen DÖRING, An der Kaiserdamm-Brücke",Kaiserdamm 17,14057,"Schweizer Taschenmesser, Kochmesser, Kochtöpfe, Bratpfannen, Leitern, Rasenmäher, Akkuschrauber, Bohrmaschinen, Hailo-Leitern, Bügelbretter, Wäscheständer, Mülleimer, Thermosflaschen, Sämereien, Blumentöpfe, Blumenkästen, Blumenerde, Zargesboxen, Gartenmöbel, Sonnenschirme",WAHR,Nach Absprache,WAHR,"Über 15000 Artikel aus unserem Eisenwaren- und Hausratsortiment, Gartenmöbel, Leitern, Rasenmäher Werkzeuge, Staubsauger. Staubsaugerbeutel, WC Sitze, WC Papier, Sonnenschirme, Kochmesser, Schweizer Taschenmesser. Akkuschrauber, Kochtöpfe, Einkochgläser, Weckgläser,Blumenerde,",+49303216849,https://www.eisen-doering.de,info@eisen-doering.de,Haushalt,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:30,,"13,2874048","52,5106386",654
New Again,Modersohnstraße 60,10245,"Design-Wohndekoration, Vintage-Deko und Retro-Wohnaccessoires!  Hier findest du einmalige und besondere Einrichtungsgegenstände für dein Zuhause!",WAHR,Alle Objekte können als Paket versendet werden!,WAHR,"Einfach im Bestellprozess ""Abholung"" auswählen und einen individuellen Abholtermin vereinbaren.",+491706614527,https://www.newagain.de,kontakt@newagain.de,Anderes (bitte bei der nächsten Frage beschreiben),00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,"13,4562869","52,5020452",655
Lady Su,Jochim-Friedrich-Straße 22-23,10711,Ihr spezialist ab Größe 42-56,WAHR,Bestellungen von Gutscheinen und Bekleidung in den Größen von 42-56 für Damenoberbekleidung,FALSCH,,+493031014789,https://www.lady-su.de,lady-su@hotmail.de,Mode / Bekleidung,,,,,,,,"13,2968987","52,4997655",656
Schuhhaus Wittstock,Schloßstraße 32,12163,Das Geschäft mit den bequemsten Schuhen der Stadt.,WAHR,Lieferungen über unseren Onlineshop schuhglück.de,FALSCH,,+49307935418,https://www.schuhhauswittstock.de,,Mode / Bekleidung,,,,,,,,"13,3215079","52,4581748",657
HD-Computer,Traunsteinerstraße 1,10781,"Computer Reparatur, Service, Installation windows 10",FALSCH,,WAHR,"Computer Reparatur, Notebook, Laptop, Windows 10 installation",+493023638704,https://www.hd-computer.de,shop@hd-computer.de,Anderes (bitte bei der nächsten Frage beschreiben),11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,10:00-14:00,,"13,3455","52,49307",658
alletolle UG,Katharinen Straße 19A,10711,Wiederverwendbare Maske,WAHR,Lieferung nach Anfrage und Verhandlung,FALSCH,,+4917684428010,http://sunmiglobal.dothome.co.kr/masks-intro/,alletolle@naver.com,Gesundheit,,,,,,,,"13,29181","52,49974",659
Jacques' City-West,Bundesallee 24/25,10717,Weine von Winzern aus aller Welt,WAHR,"Mit Kundenkarte, ab 50 Euro kostenlose Lieferung am gleichen Tag, mit Wunschtermin",WAHR,Alle Weine auch zur Selbstabholung.,+493086393718,https://www.jacques.de/depot/345/berlin-city-west/,city-west@jacques.de,Getränkemarkt,15:00-19:00,15:00-19:00,15:00-19:00,15:00-19:00,12:00-19:00,10:00-16:00,,"13,3304386","52,4921942",660
Populus Coffee,Maybachufer 20,12047,Specialty coffee roastery and a cafe offering freshly roasted beans from some of the best producers in the world.,FALSCH,,WAHR,"Our cafe is open daily between 10-17. Coffee drinks, pastry, wine, beer and beans available for take away.",+491729884176,https://www.populus.coffee,hello@populuscoffee.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-18:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,"13,42704","52,49369",661
Treptower Klause,Karl-Kunger-Straße 69,12435,Täglich wechselndes Angebot an Mittag- und Abendessen für Selbstabholer,FALSCH,,WAHR,"Mittagessen Montags bis Freitags von 12:00 bis 14:00, Abendessen Montags bis Freitagsvon 17:00 bis 20:00 für Selbstabholer. ,",+491759010099,https://www.treptowerklause.de,info@treptowerklause.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-14:00 & 17:00-20:00,12:00-14:00 & 17:00-20:00,12:00-14:00 & 17:00-20:00,12:00-14:00 & 17:00-20:00,12:00-14:00 & 17:00-20:00,,,"13,4452441","52,4928654",662
FECHTNER,Torstraße 114,10119,Gesundes Frühstück und Lunch mit saisonalen und überwiegend regionale Produkten. Kaffee- und Kuchenspezialitäten für eine süße Verführung am Nachmittag. Leckere Smoothies und frischgepresste Säfte runden das Angebot ab. Alles hausgemacht mit Liebe und Leidenschaft!,FALSCH,,WAHR,Täglich von 9 bis 18Uhr  könnt ihr bei uns per Mail oder telefonisch bestellen. Oder kommt vorbei und gebt eure Bestellungen auf und nehmt gleich noch einen unserer leckeren Kuchen mit.,+4917661778485,https://www.fechtner-delikatessen.de,info@fechtner-delikatessen.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,"13,4025829","52,529583",663
PhonoPhono,Bergmannstraße 17,10961,"HiFi-Technik und High-End, Plattenspieler",WAHR,"Lieferung welweit, innerhab Berlin auch mit Kurier, Abholung im Geschäft von Online-Bestellungen",WAHR,,+493079741835,https://www.phonophono.de,info@phonophono.de,Anderes (bitte bei der nächsten Frage beschreiben),11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,12:00-16:00,,"13,3920199","52,4891797",664
Chamelion Coffee,Torfstraße 25,13353,"Kaffee aller Art, jeden Tag andere vegetarische oder vegane Salate belegte Brötchen, kleine Kuchen selbstgemachte Pastel de Nata",FALSCH,,WAHR,,,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,10:00-16:00,,"13,3509055","52,5403781",665
Gasthaus Rustikal,Liebenwalder Straße 31,13055,Deutsche Küche,FALSCH,,WAHR,"Bestellungen bis 17.00 Uhr täglich, Abholung von 17.00 Uhr bis 20.00 Uhr",+4917624338830,https://www.gasthaus-rustikal.de,gasthausrustikal@freenet.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",17:00-20:00,17:00-20:00,17:00-20:00,17:00-20:00,17:00-20:00,17:00-20:00,17:00-20:00,"13,4989689","52,5377447",666
Extronic Hans Schlegel,Albrechtstraße 81,12167,"Die ""Centric II"" Schreibtischleuchte übertrifft alle Richtlinien (max. 1.500lx), ist über Netzstecker sofort einsetzbar und ersetzt effektiver jede Deckenbeleuchtung. Mit Human Centric Lighting haben Sie automatisch den natürlichen Tageslichtverlauf auf Ihrem Schreibtisch!",WAHR,Lieferung innerhalb Berlin und Brandenburg,FALSCH,,+493070760323,https://extronic.de,info@extronic.de,Bürobedarf,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,,"13,3384901","52,44946",667
Katanga Antik-Kolosseum,Mainzer Straße 16,10247,"Antiquitäten, Antike Möbel, Filmrequisite",WAHR,Deutschland,WAHR,Antiquitäten können nach Absprache in unseren Ausstellungsräumen in in Garzau-Garzin bei Berlin abgeholt werden.,+491718305751,https://www.antik-kolosseum.de/,info@antik-Kolosseum.de,Möbel,,,,,,,,"13,462061","52,5125158",668
Sole Fresh Berlin,Steinstraße 4,10119,"Schuhreinigung, Sneaker Reinigung, Schuhrestaurierung",WAHR,Liefern überall in Berlin,FALSCH,,+4917628179990,http://solefresh.de,berlin@solefresh.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,,"13,4065616","52,5266867",669
GUT.GUT.,Schröderstraße 10,10115,lebende aktive fermentierte Getränke (kombucha and Kefir Wasser),WAHR,Lieferungen mit GUT.GUT. In Ring mit UPS überall Deutschland,WAHR,By appointment only,+491629039474,https://www.gutgut.co,sales@gutgut.co,Getränkemarkt,10:00-18:00,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-16:00,,"13,3938","52,5309",670
